packet_id,packet_hash_hex,packet_hash_decimal,scene_path,placement_root,object_name,source_prefab,authoring_component,serialized_field,discovery_id,display_name,local_position,local_euler,local_scale,depth_band,zone_tag,placement_note
P001_CRASH_SHELF,0xBBDE0731,3151890225,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P001_CRASH_SHELF,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__field.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p001_crash_shelf,Crash shelf debris,-7.8|1.05|22.8,0|18|0,0.72|0.72|0.72,shallows,crash_shelf,first trapped-arrival physical proof
P002_BLACK_KEEL_CONTACT,0x29404F82,692080514,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P002_BLACK_KEEL_CONTACT,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P002_BLACK_KEEL_CONTACT.prefab,MessageTerminal,appliedLorePacketHash,,Black Keel contact panel,8.45|6.92|21.35,0|24|0,1|1|1,shallows,beacon_handshake,first machine contact near beacon mast
P003_BARNARD_MARK,0xE1A514C7,3785692359,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P003_BARNARD_MARK,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p003_barnard_mark,Barnard stamped crate,-3.9|0.88|23.7,0|-8|0,0.82|0.82|0.82,shallows,origin_mark,player-origin hook on visible salvage mark
P006_DEAD_CLAIM_CACHE,0x796A7B58,2037021528,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P006_DEAD_CLAIM_CACHE,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__cache.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p006_dead_claim_cache,Dead claim cache,6.4|0.86|37.2,0|42|0,0.9|0.9|0.9,shallows,claim_cache,actual cache object not free loot text
P008_EVACUATION_HOLD,0xBC39FDD7,3157917143,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P008_EVACUATION_HOLD,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P008_EVACUATION_HOLD.prefab,MessageTerminal,appliedLorePacketHash,,Evacuation hold manifest,4.3|1.42|25.15,0|-4|0,1|1|1,ruins,evacuation_hold,manifest terminal on service deck route
P010_PAYLOAD_WINDOW,0x2F1F093E,790563134,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P010_PAYLOAD_WINDOW,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P010_PAYLOAD_WINDOW.prefab,MessageTerminal,appliedLorePacketHash,,Payload window relay,9.7|2.04|27.7,0|31|0,1|1|1,mid_route,payload_relay,late payload route proof near relay cable
P011_DOMAIN_MARKS_2190,0x108B72AE,277574318,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P011_DOMAIN_MARKS_2190,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p011_domain_marks_2190,Six-domain stamped plate,-1.2|0.95|35.9,0|64|0,0.78|0.78|0.78,shallows,domain_mark,one bounded domain mark prop
P012_RELAY_SPINE,0x88B4DC98,2293554328,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P012_RELAY_SPINE,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P012_RELAY_SPINE.prefab,MessageTerminal,appliedLorePacketHash,,Relay spine service panel,-8.6|1.98|23.3,0|-28|0,1|1|1,shallows,route_power,delay and relay proof on cable route
P013_NEARLIGHT_SHIP_CLASSES,0x3DA55C38,1034247224,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P013_NEARLIGHT_SHIP_CLASSES,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P013_NEARLIGHT_SHIP_CLASSES.prefab,MessageTerminal,appliedLorePacketHash,,Nearlight carrier manifest,7.9|6.35|22.6,0|20|0,1|1|1,shallows,beacon_handshake,carrier economics beside beacon housing
P014_AEGIR_ROUTE_WINDOW,0x3C0D7D62,1007517026,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P014_AEGIR_ROUTE_WINDOW,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P014_AEGIR_ROUTE_WINDOW.prefab,MessageTerminal,appliedLorePacketHash,,Aegir route timing slate,13.1|1.18|29.1,0|18|0,1|1|1,shallows,sky_timing,route-window survival math
P015_BLACK_KEEL_LEDGER,0x8E6BB94F,2389424463,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P015_BLACK_KEEL_LEDGER,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P015_BLACK_KEEL_LEDGER.prefab,MessageTerminal,appliedLorePacketHash,,Black Keel ledger terminal,-4.6|1.18|21.0,0|12|0,1|1|1,shallows,debt_ledger,assistance as custody not rescue
P016_AEGIR_HOST_STAR,0x3B14722D,991195693,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_DISC_P016_AEGIR_HOST_STAR,Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab,NarrativeDiscovery,appliedLorePacketHash,applied_lore_p016_aegir_host_star,Ephemeris sensor board,8.1|1.38|22.9,0|20|0,0.8|0.8|0.8,shallows,sky_timing,astronomy as navigation evidence
P017_AEGIR_MOON_LADDER,0xF0A8072F,4037543727,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P017_AEGIR_MOON_LADDER,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P017_AEGIR_MOON_LADDER.prefab,MessageTerminal,appliedLorePacketHash,,Aegir moon ladder board,10.7|1.42|32.2,0|37|0,1|1|1,shallows,sky_timing,HECTON-8 as one moon in a risk ladder
P021_BLACK_KEEL_CUSTODY,0x28B798E4,683120868,Assets/_Project/Scenes/02_HECTON_WORLD.unity,__APPLIED_LORE_SCENE_PLACEMENT,AL_TERM_P021_BLACK_KEEL_CUSTODY,Assets/_Project/Prefabs/Narrative/AppliedLore/Terminals/PFB_AppliedLore_Terminal_P021_BLACK_KEEL_CUSTODY.prefab,MessageTerminal,appliedLorePacketHash,,Black Keel custody panel,-10.4|1.42|23.9,0|-30|0,1|1|1,shallows,debt_ledger,custody debt near safe pocket
